iter	Passed	Remaining
449	1086	1328
450	1088	1325
451	1090	1321
452	1096	1323
453	1097	1320
454	1102	1320
455	1106	1320
456	1108	1317
457	1111	1315
458	1118	1318
459	1120	1315
460	1122	1312
461	1126	1312
462	1130	1310
463	1133	1309
464	1136	1308
465	1138	1304
466	1139	1300
467	1141	1297
468	1142	1293
469	1145	1291
470	1147	1288
471	1148	1285
472	1150	1282
473	1152	1278
474	1154	1275
475	1155	1272
476	1157	1269
477	1159	1266
478	1161	1263
479	1163	1260
480	1166	1258
481	1167	1255
482	1169	1251
483	1170	1248
484	1173	1245
485	1176	1243
486	1178	1240
487	1180	1238
488	1182	1235
489	1183	1232
490	1185	1228
491	1186	1224
492	1187	1221
493	1190	1219
494	1192	1216
495	1194	1213
496	1196	1210
497	1198	1207
498	1199	1204
499	1201	1201
500	1204	1199
501	1206	1197
502	1208	1194
503	1211	1192
504	1212	1188
505	1214	1186
506	1218	1184
507	1222	1183
508	1225	1182
509	1227	1179
510	1230	1177
511	1234	1176
512	1237	1174
513	1239	1172
514	1241	1169
515	1243	1166
516	1245	1163
517	1247	1160
518	1251	1159
519	1253	1157
520	1256	1155
521	1259	1152
522	1261	1150
523	1265	1149
524	1271	1150
525	1273	1147
526	1275	1145
527	1277	1141
528	1280	1140
529	1283	1138
530	1285	1135
531	1287	1132
532	1289	1129
533	1290	1126
534	1293	1123
535	1296	1122
536	1298	1119
537	1301	1117
538	1303	1114
539	1304	1111
540	1305	1107
541	1307	1104
542	1309	1101
543	1310	1098
544	1313	1096
545	1314	1093
546	1320	1093
547	1321	1090
548	1323	1087
549	1327	1085
550	1329	1083
551	1331	1080
552	1333	1077
553	1335	1074
554	1336	1071
555	1338	1068
556	1341	1066
557	1344	1065
558	1347	1062
559	1349	1059
560	1351	1057
561	1352	1054
562	1355	1052
563	1357	1049
564	1359	1046
565	1362	1044
566	1363	1041
567	1366	1039
568	1368	1036
569	1371	1034
570	1373	1032
571	1375	1029
572	1376	1026
573	1378	1022
574	1379	1019
575	1382	1017
576	1384	1014
577	1387	1013
578	1420	1032
579	1422	1029
580	1425	1028
581	1428	1025
582	1430	1023
583	1432	1020
584	1437	1019
585	1439	1017
586	1441	1014
587	1443	1011
588	1447	1010
589	1449	1007
590	1451	1004
591	1482	1021
592	1485	1019
593	1487	1016
594	1489	1013
595	1490	1010
596	1492	1007
597	1494	1004
598	1498	1003
599	1500	1000
600	1503	997
601	1504	994
